"project_title","github_username","student_repository_name","student_repository_url","project_url","author","authors","id"
"PROJECT TITLE HERE","hbk-bs-bot","a-generative-graphic-novel-teachers-lounge","https://github.com/hbk-bs/a-generative-graphic-novel-teachers-lounge","https://hbk-bs.github.io/a-generative-graphic-novel-teachers-lounge","hbk-bs-bot",,"8E3B8967-027A-4C3F-A7A5-61B5339A6E74"
"PROJECT TITLE HERE","ff6347","a-generative-graphic-novel-teachers-lounge","https://github.com/hbk-bs/a-generative-graphic-novel-teachers-lounge","https://hbk-bs.github.io/a-generative-graphic-novel-teachers-lounge","ff6347",,"02575918-79CC-4047-B0C6-060DA4DFF6FC"
"PROJECT TITLE HERE","kaltesommer","a-generative-graphic-novel-graphik_linda_kirsten_ivo","https://github.com/hbk-bs/a-generative-graphic-novel-graphik_linda_kirsten_ivo","https://hbk-bs.github.io/a-generative-graphic-novel-graphik_linda_kirsten_ivo","kaltesommer",,"E302481F-6778-48C6-903D-7943C7698B5C"
"PROJECT TITLE HERE","LiSchwarz","a-generative-graphic-novel-graphik_linda_kirsten_ivo","https://github.com/hbk-bs/a-generative-graphic-novel-graphik_linda_kirsten_ivo","https://hbk-bs.github.io/a-generative-graphic-novel-graphik_linda_kirsten_ivo","LiSchwarz",,"E8F2C1C0-8BF7-43DB-89C0-BE60D4A30495"
"PROJECT TITLE HERE","ivohartwig","a-generative-graphic-novel-graphik_linda_kirsten_ivo","https://github.com/hbk-bs/a-generative-graphic-novel-graphik_linda_kirsten_ivo","https://hbk-bs.github.io/a-generative-graphic-novel-graphik_linda_kirsten_ivo","ivohartwig",,"7E022728-3748-426E-BBCE-216519AC4384"
"PROJECT TITLE HERE","Annagnb","a-generative-graphic-novel-team-anna-luca-pauline","https://github.com/hbk-bs/a-generative-graphic-novel-team-anna-luca-pauline","https://hbk-bs.github.io/a-generative-graphic-novel-team-anna-luca-pauline","Annagnb",,"7CC2F0F0-2112-4169-B145-B9BBEA696090"
"PROJECT TITLE HERE","lucadiez","a-generative-graphic-novel-team-anna-luca-pauline","https://github.com/hbk-bs/a-generative-graphic-novel-team-anna-luca-pauline","https://hbk-bs.github.io/a-generative-graphic-novel-team-anna-luca-pauline","lucadiez",,"02205196-8296-4535-AA10-6506B279969E"
"PROJECT TITLE HERE","Paulineseemann","a-generative-graphic-novel-team-anna-luca-pauline","https://github.com/hbk-bs/a-generative-graphic-novel-team-anna-luca-pauline","https://hbk-bs.github.io/a-generative-graphic-novel-team-anna-luca-pauline","Paulineseemann",,"2D387663-7F0C-47CD-A2C6-1B8FD0BC45FE"
"A Lions Adventure","nicolesophiebelger","a-generative-graphic-novel-finima","https://github.com/hbk-bs/a-generative-graphic-novel-finima","https://hbk-bs.github.io/a-generative-graphic-novel-finima","nicolesophiebelger",,"0952FEAC-1A7E-48A2-9E43-88C91BCB3CE3"
"A Lions Adventure","finepung","a-generative-graphic-novel-finima","https://github.com/hbk-bs/a-generative-graphic-novel-finima","https://hbk-bs.github.io/a-generative-graphic-novel-finima","finepung",,"63AB46AC-9278-4108-821E-5CA80770C92F"
"A Lions Adventure","nicolesophiebelger","a-generative-graphic-novel-finima","https://github.com/hbk-bs/a-generative-graphic-novel-finima","https://hbk-bs.github.io/a-generative-graphic-novel-finima","nicolesophiebelger",,"0914C3D8-D44F-4090-8EBA-D82385B35124"
"A Lions Adventure","finepung","a-generative-graphic-novel-finima","https://github.com/hbk-bs/a-generative-graphic-novel-finima","https://hbk-bs.github.io/a-generative-graphic-novel-finima","finepung",,"AD87CA61-B26F-44F3-862C-CA144F28149D"
"A Lions Adventure","MaddyRethmeier","a-generative-graphic-novel-finima","https://github.com/hbk-bs/a-generative-graphic-novel-finima","https://hbk-bs.github.io/a-generative-graphic-novel-finima","MaddyRethmeier",,"A5A39772-171C-4347-A079-10E44D96F6C9"
"PROJECT TITLE HERE","Maple-Sarahp","a-generative-graphic-novel-team-slym-shady","https://github.com/hbk-bs/a-generative-graphic-novel-team-slym-shady","https://hbk-bs.github.io/a-generative-graphic-novel-team-slym-shady","Maple-Sarahp",,"5EB01E6D-D528-4BE7-A8A8-3075F743C0A5"
"PROJECT TITLE HERE","2mars01","a-generative-graphic-novel-team-slym-shady","https://github.com/hbk-bs/a-generative-graphic-novel-team-slym-shady","https://hbk-bs.github.io/a-generative-graphic-novel-team-slym-shady","2mars01",,"366AFA0B-0889-4A4E-9AA7-9D320AC6EA3A"
"PROJECT TITLE HERE","Chrizz1nk","a-generative-graphic-novel-die-bierpapageien","https://github.com/hbk-bs/a-generative-graphic-novel-die-bierpapageien","https://hbk-bs.github.io/a-generative-graphic-novel-die-bierpapageien","Chrizz1nk",,"C0B3E6B2-593C-48BB-89B3-4FE541DD76ED"
"Küss den Frosch","Johanna2612","a-generative-graphic-novel-die-bierpapageien","https://github.com/hbk-bs/a-generative-graphic-novel-die-bierpapageien","https://hbk-bs.github.io/a-generative-graphic-novel-die-bierpapageien","Johanna2612",,"B6D2F0BC-45F4-4632-8AAF-9B7A3C2A2B4D"
"PROJECT TITLE HERE","20andrea04","a-generative-graphic-novel-die-bierpapageien","https://github.com/hbk-bs/a-generative-graphic-novel-die-bierpapageien","https://hbk-bs.github.io/a-generative-graphic-novel-die-bierpapageien","20andrea04",,"F9057078-930B-46F5-8774-A04211CFD7EC"
