"assignment_name","assignment_url","starter_code_url","github_username","roster_identifier","student_repository_name","student_repository_url","submission_timestamp","points_awarded","points_available","group_name","project_title"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","hbk-bs-bot","hbk-bs-bot","blinkenlichten-dummkopfen","https://github.com/hbk-bs/blinkenlichten-dummkopfen","","0","0","dummkopfen","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","ff6347","ff6347","blinkenlichten-dummkopfen","https://github.com/hbk-bs/blinkenlichten-dummkopfen","","0","0","dummkopfen","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","ivohartwig","ivohartwig","blinkenlichten-p-i-l-die-baustellenlampe","https://github.com/hbk-bs/blinkenlichten-p-i-l-die-baustellenlampe","","0","0","P.I.L. die Baustellenlampe ","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","Annagnb","Annagnb","blinkenlichten-baumchen_a","https://github.com/hbk-bs/blinkenlichten-baumchen_a","","0","0","Bäumchen_A","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","20andrea04","20andrea04","blinkenlichten-baumchen_a","https://github.com/hbk-bs/blinkenlichten-baumchen_a","","0","0","Bäumchen_A","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","Maple-Sarahp","Maple-Sarahp","blinkenlichten-bau-n-haus","https://github.com/hbk-bs/blinkenlichten-bau-n-haus","","0","0","Bau(n)Haus","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","Johanna2612","Johanna2612","blinkenlichten-bau-n-haus","https://github.com/hbk-bs/blinkenlichten-bau-n-haus","","0","0","Bau(n)Haus","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","2mars01","2mars01","blinkenlichten-bau-n-haus","https://github.com/hbk-bs/blinkenlichten-bau-n-haus","","0","0","Bau(n)Haus","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","MaddyRethmeier","MaddyRethmeier","blinkenlichten-bau-n-haus","https://github.com/hbk-bs/blinkenlichten-bau-n-haus","","0","0","Bau(n)Haus","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","karlotte1312","karlotte1312","blinkenlichten-schlurfenleuchten-strohhalm-joystick","https://github.com/hbk-bs/blinkenlichten-schlurfenleuchten-strohhalm-joystick","","0","0","schlürfenleuchten - Strohhalm-Joystick","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","nicolesophiebelger","nicolesophiebelger","blinkenlichten-umpellumpa","https://github.com/hbk-bs/blinkenlichten-umpellumpa","","0","0","Ümpellümpa","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","Chrizz1nk","Chrizz1nk","blinkenlichten-umpellumpa","https://github.com/hbk-bs/blinkenlichten-umpellumpa","","0","0","Ümpellümpa","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","finepung","finepung","blinkenlichten-filivacat","https://github.com/hbk-bs/blinkenlichten-filivacat","","0","0","filivacat","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","ylva92","ylva92","blinkenlichten-filivacat","https://github.com/hbk-bs/blinkenlichten-filivacat","","0","0","filivacat","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","LiSchwarz","LiSchwarz","blinkenlichten-filivacat","https://github.com/hbk-bs/blinkenlichten-filivacat","","0","0","filivacat","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","lucadiez","lucadiez","blinkenlichten-streetlight","https://github.com/hbk-bs/blinkenlichten-streetlight","","0","0","streetlight","PROJET TITLE HERE"
"blinkenlichten","https://classroom.github.com/classrooms/140275623-digicom-2425/assignments/blinkenlichten","https://api.github.com/repos/hbk-bs/digicom-2425-blinkenlichten","narstasya","narstasya","blinkenlichten-headphones","https://github.com/hbk-bs/blinkenlichten-headphones","","0","0","headphones","PROJET TITLE HERE"
,"PROJET TITLE HERE"
