"project_title","github_username","student_repository_name","student_repository_url","project_url","author","authors","id"
"PROJECT TITLE HERE","ff6347","nature-of-code-ff6347","https://github.com/hbk-bs/nature-of-code-ff6347","https://hbk-bs.github.io/nature-of-code-ff6347","ff6347",,"CBF239A6-5974-4F89-B7EC-8ED1F0873D1E"
"PROJECT TITLE HERE","hbk-bs-bot","nature-of-code-hbk-bs-bot","https://github.com/hbk-bs/nature-of-code-hbk-bs-bot","https://hbk-bs.github.io/nature-of-code-hbk-bs-bot","hbk-bs-bot",,"F748E544-E662-42A8-A240-1229DFCB2684"
"PROJECT TITLE HERE","ivohartwig","nature-of-code-ivohartwig","https://github.com/hbk-bs/nature-of-code-ivohartwig","https://hbk-bs.github.io/nature-of-code-ivohartwig","ivohartwig",,"6A08E87A-4978-4418-BD31-5E36F20BF60F"
"Peringia ulvae","lucadiez","nature-of-code-lucadiez","https://github.com/hbk-bs/nature-of-code-lucadiez","https://hbk-bs.github.io/nature-of-code-lucadiez","lucadiez",,"21CDDE6C-FA3A-49D2-BDD4-4997C8347CF2"
"Aufbrechen des Sandes","ylva92","nature-of-code-ylva92","https://github.com/hbk-bs/nature-of-code-ylva92","https://hbk-bs.github.io/nature-of-code-ylva92","ylva92",,"1EEEF342-096F-4146-AC2A-84639E62A716"
"wind movement","finepung","nature-of-code-finepung","https://github.com/hbk-bs/nature-of-code-finepung","https://hbk-bs.github.io/nature-of-code-finepung","finepung",,"117E74E7-898B-4D5D-B86A-B7EB022103F4"
"PROJECT TITLE HERE","20andrea04","nature-of-code-20andrea04","https://github.com/hbk-bs/nature-of-code-20andrea04","https://hbk-bs.github.io/nature-of-code-20andrea04","20andrea04",,"84E4252F-0050-48D6-841C-B292728BCAE0"
"Wattwurmhaufen","LiSchwarz","nature-of-code-LiSchwarz","https://github.com/hbk-bs/nature-of-code-LiSchwarz","https://hbk-bs.github.io/nature-of-code-LiSchwarz","LiSchwarz",,"B9C4D65A-9CEB-439F-901C-868940906230"
"PROJECT TITLE HERE","Lynnadam","nature-of-code-Lynnadam","https://github.com/hbk-bs/nature-of-code-Lynnadam","https://hbk-bs.github.io/nature-of-code-Lynnadam","Lynnadam",,"FD1C1EBB-EC2D-4FF7-96C5-A0119A3C131C"
"Bubbles","2mars01","nature-of-code-2mars01","https://github.com/hbk-bs/nature-of-code-2mars01","https://hbk-bs.github.io/nature-of-code-2mars01","2mars01",,"5BB0220D-6EB2-4AB3-A88B-C9BCFF60D68C"
"Seenebel","Johanna2612","nature-of-code-Johanna2612","https://github.com/hbk-bs/nature-of-code-Johanna2612","https://hbk-bs.github.io/nature-of-code-Johanna2612","Johanna2612",,"BD3BBA23-D623-476B-93FF-C83D1C6A2687"
"PROJECT TITLE HERE","MaddyRethmeier","nature-of-code-MaddyRethmeier","https://github.com/hbk-bs/nature-of-code-MaddyRethmeier","https://hbk-bs.github.io/nature-of-code-MaddyRethmeier","MaddyRethmeier",,"11D57C90-19AC-4EDE-BA38-CE7C8B06156E"
"Branching Bushes","Maple-Sarahp","nature-of-code-Maple-Sarahp","https://github.com/hbk-bs/nature-of-code-Maple-Sarahp","https://hbk-bs.github.io/nature-of-code-Maple-Sarahp","Maple-Sarahp",,"978F7B52-2B69-45A9-9DE3-BF82C48A06C0"
"PROJECT TITLE HERE","Paulineseemann","nature-of-code-Paulineseemann","https://github.com/hbk-bs/nature-of-code-Paulineseemann","https://hbk-bs.github.io/nature-of-code-Paulineseemann","Paulineseemann",,"2123517A-3877-4367-91DD-C43E92638EF2"
"Strauch-Bewegung","Annagnb","nature-of-code-Annagnb","https://github.com/hbk-bs/nature-of-code-Annagnb","https://hbk-bs.github.io/nature-of-code-Annagnb","Annagnb",,"5744DA88-B801-4BA6-909E-F75BF16AD459"
"PROJECT TITLE HERE","Liana-Geo","nature-of-code-Liana-Geo","https://github.com/hbk-bs/nature-of-code-Liana-Geo","https://hbk-bs.github.io/nature-of-code-Liana-Geo","Liana-Geo",,"AF6E0C6A-6A67-46A2-BA58-620BC4FE7C1A"
"raindrops","nicolesophiebelger","nature-of-code-nicolesophiebelger","https://github.com/hbk-bs/nature-of-code-nicolesophiebelger","https://hbk-bs.github.io/nature-of-code-nicolesophiebelger","nicolesophiebelger",,"507EB1B6-E4D3-4D46-9564-627B6E181EC1"
"Fibonacci-Sonnenblume","Chrizz1nk","nature-of-code-Chrizz1nk","https://github.com/hbk-bs/nature-of-code-Chrizz1nk","https://hbk-bs.github.io/nature-of-code-Chrizz1nk","Chrizz1nk",,"E49A2679-500B-4846-89AB-7A14840808C5"
"PROJECT TITLE HERE","narstasya","nature-of-code-narstasya","https://github.com/hbk-bs/nature-of-code-narstasya","https://hbk-bs.github.io/nature-of-code-narstasya","narstasya",,"FADB4D74-6436-45E1-A2C7-10E0CB524370"
"Ringe des Lebens","kaltesommer","nature-of-code-kaltesommer","https://github.com/hbk-bs/nature-of-code-kaltesommer","https://hbk-bs.github.io/nature-of-code-kaltesommer","kaltesommer",,"2C902169-522C-444D-A74D-61F8E8542C05"
