
"project_title","github_username","student_repository_name","student_repository_url","project_url","author","authors","id"
"PROJECT TITLE HERE","ff6347","nature-of-code-ff6347","https://github.com/hbk-bs/nature-of-code-ff6347","https://hbk-bs.github.io/nature-of-code-ff6347","ff6347","","e7be6304-158c-4b45-a378-56d0cfff895d"
"PROJECT TITLE HERE","hbk-bs-bot","nature-of-code-hbk-bs-bot","https://github.com/hbk-bs/nature-of-code-hbk-bs-bot","https://hbk-bs.github.io/nature-of-code-hbk-bs-bot","hbk-bs-bot","","9e365f70-4c4f-47da-8cf8-940192727ffe"
"Water Flow","ivohartwig","nature-of-code-ivohartwig","https://github.com/hbk-bs/nature-of-code-ivohartwig","https://hbk-bs.github.io/nature-of-code-ivohartwig","ivohartwig","","f5bbc11b-dc84-4294-8fd9-ce9a7cc97e54"
"Peringia ulvae","lucadiez","nature-of-code-lucadiez","https://github.com/hbk-bs/nature-of-code-lucadiez","https://hbk-bs.github.io/nature-of-code-lucadiez","lucadiez","","860ddd9b-14b7-4346-9655-e6da10c70d6e"
"Aufbrechen des Sandes","ylva92","nature-of-code-ylva92","https://github.com/hbk-bs/nature-of-code-ylva92","https://hbk-bs.github.io/nature-of-code-ylva92","ylva92","","dbf4f530-7d1f-427d-8c64-d987649d5db8"
"wind movement","finepung","nature-of-code-finepung","https://github.com/hbk-bs/nature-of-code-finepung","https://hbk-bs.github.io/nature-of-code-finepung","finepung","","5727ce35-fc47-4151-9023-691bf2e1c39a"
"Begrenztes Wachstum","20andrea04","nature-of-code-20andrea04","https://github.com/hbk-bs/nature-of-code-20andrea04","https://hbk-bs.github.io/nature-of-code-20andrea04","20andrea04","","c4ecba29-3018-4be8-9131-67a87d700ba4"
"Wattwurmhaufen","LiSchwarz","nature-of-code-LiSchwarz","https://github.com/hbk-bs/nature-of-code-LiSchwarz","https://hbk-bs.github.io/nature-of-code-LiSchwarz","LiSchwarz","","ecc878a8-9107-47a6-b4b7-35dc4e1ca618"
"PROJECT TITLE HERE","Lynnadam","nature-of-code-Lynnadam","https://github.com/hbk-bs/nature-of-code-Lynnadam","https://hbk-bs.github.io/nature-of-code-Lynnadam","Lynnadam","","a1e03136-4f96-4d08-9f36-18fe82d8c2b1"
"Bubbles","2mars01","nature-of-code-2mars01","https://github.com/hbk-bs/nature-of-code-2mars01","https://hbk-bs.github.io/nature-of-code-2mars01","2mars01","","b92f02d5-82f6-450e-9327-219eef75f6b5"
"Seenebel","Johanna2612","nature-of-code-Johanna2612","https://github.com/hbk-bs/nature-of-code-Johanna2612","https://hbk-bs.github.io/nature-of-code-Johanna2612","Johanna2612","","e65635b8-8f7b-4bf0-a63c-787ccfcfa9b0"
"PROJECT TITLE HERE","MaddyRethmeier","nature-of-code-MaddyRethmeier","https://github.com/hbk-bs/nature-of-code-MaddyRethmeier","https://hbk-bs.github.io/nature-of-code-MaddyRethmeier","MaddyRethmeier","","4c1d8cff-d308-46c4-84f2-ec6ee28147d0"
"Branching Bushes","Maple-Sarahp","nature-of-code-Maple-Sarahp","https://github.com/hbk-bs/nature-of-code-Maple-Sarahp","https://hbk-bs.github.io/nature-of-code-Maple-Sarahp","Maple-Sarahp","","99bc6a30-7c6c-4f87-8d94-d52ed45ee100"
"PROJECT TITLE HERE","Paulineseemann","nature-of-code-Paulineseemann","https://github.com/hbk-bs/nature-of-code-Paulineseemann","https://hbk-bs.github.io/nature-of-code-Paulineseemann","Paulineseemann","","ae2d5d7a-cad8-4b6d-8d1c-e79842723baf"
"Strauch-Bewegung","Annagnb","nature-of-code-Annagnb","https://github.com/hbk-bs/nature-of-code-Annagnb","https://hbk-bs.github.io/nature-of-code-Annagnb","Annagnb","","ac372813-f1ba-4992-9780-cb09d10f3aa3"
"PROJECT TITLE HERE","Liana-Geo","nature-of-code-Liana-Geo","https://github.com/hbk-bs/nature-of-code-Liana-Geo","https://hbk-bs.github.io/nature-of-code-Liana-Geo","Liana-Geo","","943b52ac-276f-46c9-8048-5bac1e3d44f6"
"raindrops","nicolesophiebelger","nature-of-code-nicolesophiebelger","https://github.com/hbk-bs/nature-of-code-nicolesophiebelger","https://hbk-bs.github.io/nature-of-code-nicolesophiebelger","nicolesophiebelger","","cf385cf6-b3cf-489f-898a-9b886c4d8e7b"
"Fibonacci-Sonnenblume","Chrizz1nk","nature-of-code-Chrizz1nk","https://github.com/hbk-bs/nature-of-code-Chrizz1nk","https://hbk-bs.github.io/nature-of-code-Chrizz1nk","Chrizz1nk","","e74531c4-513f-4da9-a439-d8c21f251374"
"PROJECT TITLE HERE","narstasya","nature-of-code-narstasya","https://github.com/hbk-bs/nature-of-code-narstasya","https://hbk-bs.github.io/nature-of-code-narstasya","narstasya","","0c669a04-006a-41fa-8073-1da2156b1238"
"Ringe des Lebens","kaltesommer","nature-of-code-kaltesommer","https://github.com/hbk-bs/nature-of-code-kaltesommer","https://hbk-bs.github.io/nature-of-code-kaltesommer","kaltesommer","","fe0236ea-7e66-4901-b663-952086c65561"
