"project_title","github_username","student_repository_name","student_repository_url","project_url","author","authors","id"
"PROJECT TITLE HERE","hbk-bs-bot","teachable-machine-hbk-bs-bot","https://github.com/hbk-bs/teachable-machine-hbk-bs-bot","https://hbk-bs.github.io/teachable-machine-hbk-bs-bot","hbk-bs-bot",,"1CCFD8D7-5D80-479D-8D42-EF752EDA9DD4"
"Lotr Charakteranalyse","Johanna2612","teachable-machine-Johanna2612","https://github.com/hbk-bs/teachable-machine-Johanna2612","https://hbk-bs.github.io/teachable-machine-Johanna2612","Johanna2612",,"6C8F987E-48DE-4D46-AAC1-DD7C56FD6B20"
"color it in","kaltesommer","teachable-machine-kaltesommer","https://github.com/hbk-bs/teachable-machine-kaltesommer","https://hbk-bs.github.io/teachable-machine-kaltesommer","kaltesommer",,"02A775C8-DB32-40EB-8077-7CFD67A6B549"
"Mobiler Farbmischer","Chrizz1nk","teachable-machine-Chrizz1nk","https://github.com/hbk-bs/teachable-machine-Chrizz1nk","https://hbk-bs.github.io/teachable-machine-Chrizz1nk","Chrizz1nk",,"F0C1174E-CB3D-4669-97AE-9BEE37AED617"
"Welche Clubmate-Sorte bist DU?","nicolesophiebelger","teachable-machine-nicolesophiebelger","https://github.com/hbk-bs/teachable-machine-nicolesophiebelger","https://hbk-bs.github.io/teachable-machine-nicolesophiebelger","nicolesophiebelger",,"B4810A32-C1FF-4950-BFA7-8874285198DC"
"PROJECT TITLE HERE","ivohartwig","teachable-machine-ivohartwig","https://github.com/hbk-bs/teachable-machine-ivohartwig","https://hbk-bs.github.io/teachable-machine-ivohartwig","ivohartwig",,"CC6B327B-C20D-4CEB-ABBC-AB05AD2997CD"
"Good or Bad Car","lucadiez","teachable-machine-lucadiez","https://github.com/hbk-bs/teachable-machine-lucadiez","https://hbk-bs.github.io/teachable-machine-lucadiez","lucadiez",,"5D1C4F6D-B1CB-4C4C-8824-AA5AF72080CB"
"PROJECT TITLE HERE","20andrea04","teachable-machine-20andrea04","https://github.com/hbk-bs/teachable-machine-20andrea04","https://hbk-bs.github.io/teachable-machine-20andrea04","20andrea04",,"3C7ABF97-EDF2-4287-BDD2-2AE20C1CD20E"
"Doodle Defender","2mars01","teachable-machine-2mars01","https://github.com/hbk-bs/teachable-machine-2mars01","https://hbk-bs.github.io/teachable-machine-2mars01","2mars01",,"F4852E5F-BF3B-412E-B141-769D45279015"
"Voll oder leer?","LiSchwarz","teachable-machine-LiSchwarz","https://github.com/hbk-bs/teachable-machine-LiSchwarz","https://hbk-bs.github.io/teachable-machine-LiSchwarz","LiSchwarz",,"5F44E7A2-4101-4BD0-8664-7B0732BD746D"
"Tic-Tac-Toe","Annagnb","teachable-machine-Annagnb","https://github.com/hbk-bs/teachable-machine-Annagnb","https://hbk-bs.github.io/teachable-machine-Annagnb","Annagnb",,"A062E9C3-B5AB-4160-804A-5A36FC00F549"
"PROJECT TITLE HERE","MaddyRethmeier","teachable-machine-MaddyRethmeier","https://github.com/hbk-bs/teachable-machine-MaddyRethmeier","https://hbk-bs.github.io/teachable-machine-MaddyRethmeier","MaddyRethmeier",,"485EC005-BE60-4C10-BD5D-3CF51701C7AF"
"what genre is THAT?","Maple-Sarahp","teachable-machine-Maple-Sarahp","https://github.com/hbk-bs/teachable-machine-Maple-Sarahp","https://hbk-bs.github.io/teachable-machine-Maple-Sarahp","Maple-Sarahp",,"EBE8C1A2-3122-472E-9A98-53E6B1BA4427"
"PROJECT TITLE HERE","Liana-Geo","teachable-machine-Liana-Geo","https://github.com/hbk-bs/teachable-machine-Liana-Geo","https://hbk-bs.github.io/teachable-machine-Liana-Geo","Liana-Geo",,"F73EB5D4-A800-4842-A2FA-7FBF65B4C94A"
"Ist das eine Beere?","finepung","teachable-machine-finepung","https://github.com/hbk-bs/teachable-machine-finepung","https://hbk-bs.github.io/teachable-machine-finepung","finepung",,"7C48A3E0-E1ED-4C18-A08B-D3E5FFC3FE23"
"Heute oder Gestern?","ylva92","teachable-machine-ylva92","https://github.com/hbk-bs/teachable-machine-ylva92","https://hbk-bs.github.io/teachable-machine-ylva92","ylva92",,"012DF95B-A57C-433B-9A6F-EBED1DAF3F0A"
"PROJECT TITLE HERE","Lynnadam","teachable-machine-Lynnadam","https://github.com/hbk-bs/teachable-machine-Lynnadam","https://hbk-bs.github.io/teachable-machine-Lynnadam","Lynnadam",,"02B61C33-F074-41CE-A5E0-0269C6BE8DA9"
"PROJECT TITLE HERE","Paulineseemann","teachable-machine-Paulineseemann","https://github.com/hbk-bs/teachable-machine-Paulineseemann","https://hbk-bs.github.io/teachable-machine-Paulineseemann","Paulineseemann",,"3E0DF2BF-CDAE-41D3-9EA4-BDE4216276D3"
"PROJECT TITLE HERE","ff6347","teachable-machine-ff6347","https://github.com/hbk-bs/teachable-machine-ff6347","https://hbk-bs.github.io/teachable-machine-ff6347","ff6347",,"8D1F1589-B380-486F-8551-C016BDC51324"
"PROJECT TITLE HERE","narstasya","teachable-machine-narstasya","https://github.com/hbk-bs/teachable-machine-narstasya","https://hbk-bs.github.io/teachable-machine-narstasya","narstasya",,"2AB7BBE0-89D2-4749-9D62-01E81649347E"
