
"project_title","github_username","student_repository_name","student_repository_url","project_url","author","authors","id"
"Zungenbrecher-Generator","ylva92","text-the-universal-interface-ylva92","https://github.com/hbk-bs/text-the-universal-interface-ylva92","https://hbk-bs.github.io/text-the-universal-interface-ylva92","ylva92",,"a3ce7948-6966-4636-b3c3-2cb9e43c4c31"
"First Date Simulator RPG","nicolesophiebelger","text-the-universal-interface-nicolesophiebelger","https://github.com/hbk-bs/text-the-universal-interface-nicolesophiebelger","https://hbk-bs.github.io/text-the-universal-interface-nicolesophiebelger","nicolesophiebelger",,"22596c63-67f8-4c83-b99d-69945d29a20c"
"Ai Kalorien Tracker","lucadiez","text-the-universal-interface-lucadiez","https://github.com/hbk-bs/text-the-universal-interface-lucadiez","https://hbk-bs.github.io/text-the-universal-interface-lucadiez","lucadiez",,"342116c4-5112-4fff-89be-45b5d8912d43"
"fashion stylist","kaltesommer","text-the-universal-interface-kaltesommer","https://github.com/hbk-bs/text-the-universal-interface-kaltesommer","https://hbk-bs.github.io/text-the-universal-interface-kaltesommer","kaltesommer",,"43b68f4c-efb7-48a4-ad1c-895050315a4e"
"nIVOgation","ivohartwig","text-the-universal-interface-ivohartwig","https://github.com/hbk-bs/text-the-universal-interface-ivohartwig","https://hbk-bs.github.io/text-the-universal-interface-ivohartwig","ivohartwig",,"fa1de96f-c411-4a25-9abc-e3141c5ce06e"
"Sprudelnder Sprüche Brunnen","finepung","text-the-universal-interface-finepung","https://github.com/hbk-bs/text-the-universal-interface-finepung","https://hbk-bs.github.io/text-the-universal-interface-finepung","finepung",,"0fec9604-4db3-4366-8166-154817a62944"
"PROJECT TITLE HERE","ff6347","text-the-universal-interface-ff6347","https://github.com/hbk-bs/text-the-universal-interface-ff6347","https://hbk-bs.github.io/text-the-universal-interface-ff6347","ff6347",,"90ef19f9-9707-4df1-a692-677c23b6e06f"
"PROJECT TITLE HERE","Paulineseemann","text-the-universal-interface-Paulineseemann","https://github.com/hbk-bs/text-the-universal-interface-Paulineseemann","https://hbk-bs.github.io/text-the-universal-interface-Paulineseemann","Paulineseemann",,"c07fa41a-b1d2-42ef-872b-cc6419a60eba"
"LLMs and Dragons","Maple-Sarahp","text-the-universal-interface-Maple-Sarahp","https://github.com/hbk-bs/text-the-universal-interface-Maple-Sarahp","https://hbk-bs.github.io/text-the-universal-interface-Maple-Sarahp","Maple-Sarahp",,"c0b2026e-5ba7-4339-9774-6ef2a1a55c32"
"PROJECT TITLE HERE","MaddyRethmeier","text-the-universal-interface-MaddyRethmeier","https://github.com/hbk-bs/text-the-universal-interface-MaddyRethmeier","https://hbk-bs.github.io/text-the-universal-interface-MaddyRethmeier","MaddyRethmeier",,"e8b9dce1-3ace-4515-8ddf-146a272aad8a"
"PROJECT TITLE HERE","Liana-Geo","text-the-universal-interface-Liana-Geo","https://github.com/hbk-bs/text-the-universal-interface-Liana-Geo","https://hbk-bs.github.io/text-the-universal-interface-Liana-Geo","Liana-Geo",,"6981fcd4-dda1-4903-9682-668907662781"
"Unterschrift lernen","LiSchwarz","text-the-universal-interface-LiSchwarz","https://github.com/hbk-bs/text-the-universal-interface-LiSchwarz","https://hbk-bs.github.io/text-the-universal-interface-LiSchwarz","LiSchwarz",,"386b075d-22e3-4e1a-af13-d242cb8f5498"
"Römischer Gossip","Johanna2612","text-the-universal-interface-Johanna2612","https://github.com/hbk-bs/text-the-universal-interface-Johanna2612","https://hbk-bs.github.io/text-the-universal-interface-Johanna2612","Johanna2612",,"656ec711-ec25-42d3-9ea7-5ae6274b1250"
"Techno Mood Chat","Chrizz1nk","text-the-universal-interface-Chrizz1nk","https://github.com/hbk-bs/text-the-universal-interface-Chrizz1nk","https://hbk-bs.github.io/text-the-universal-interface-Chrizz1nk","Chrizz1nk",,"9e35d828-9443-4c01-99bb-06fd73666259"
"Dragqueen Orakel","Annagnb","text-the-universal-interface-Annagnb","https://github.com/hbk-bs/text-the-universal-interface-Annagnb","https://hbk-bs.github.io/text-the-universal-interface-Annagnb","Annagnb",,"fd3d23a6-3bc8-4fda-ad98-3276792e657d"
"Philosophical Debate","2mars01","text-the-universal-interface-2mars01","https://github.com/hbk-bs/text-the-universal-interface-2mars01","https://hbk-bs.github.io/text-the-universal-interface-2mars01","2mars01",,"60452927-b3ab-4655-9404-b5be6ccde586"
"Der unbamherzige Kunstkritiker","20andrea04","text-the-universal-interface-20andrea04","https://github.com/hbk-bs/text-the-universal-interface-20andrea04","https://hbk-bs.github.io/text-the-universal-interface-20andrea04","20andrea04",,"c8af442e-1c1a-450a-ab19-3dbb0e59b0ff"
